ID,CATERING_ID,CATERING_DET_ID,ITEM_DESC,SPICE_LEVEL,QUANTITY,PRICE,DAIRY,GLUTEN,NUTS,VEGAN,COMMENTS,LNL_LOCATION,CREATED_DTTM,CREATED_BY_ID,UPDATED_DTTM,UPDATED_BY_ID
17543,492,0,SEVERS,MED,3 ppl,300,-1,-1,-1,-1,5 hours,\N,1/23/2022 16:27,0,\N,\N
17544,492,0,VEG HAKKA NOODLES,NA,3 tr,390,-1,-1,-1,-1,,\N,1/23/2022 16:27,0,\N,\N
17545,492,0,VEG MANCURIEN,MED,5 tr,600,-1,-1,-1,-1,,\N,1/23/2022 16:27,0,\N,\N
17546,492,0,WHITE RICE,NA,3 tr,135,-1,-1,-1,-1,,\N,1/23/2022 16:27,0,\N,\N
18303,646,0,BHINDI MASALA,MEDIUM,1.5 Trays,180,-1,-1,-1,-1,,\N,2/10/2022 4:06,0,\N,\N
18304,646,0,BUTTER NAAN,NONE,120,300,-1,-1,-1,-1,,\N,2/10/2022 4:06,0,\N,\N
18305,646,0,CHILLI FISH,MEDIUM,1.5 Trays,300,-1,-1,-1,-1,,\N,2/10/2022 4:06,0,\N,\N
18306,646,0,GOBI PEPPER FRY,MEDIUM,1.5 Trays,180,-1,-1,-1,-1,,\N,2/10/2022 4:06,0,\N,\N
18307,646,0,KARAIKUDI CHICKEN,MEDIUM,2 Trays,280,-1,-1,-1,-1,,\N,2/10/2022 4:06,0,\N,\N
18308,646,0,KNOCKOUT CHICKEN,MEDIUM,2 Trays,280,-1,-1,-1,-1,,\N,2/10/2022 4:06,0,\N,\N
18309,646,0,KULFI (40 PAAN + 60 MALAI),NONE,100 pcs,250,-1,-1,-1,-1,,\N,2/10/2022 4:06,0,\N,\N
18310,646,0,MANGO LIME PANEER,MEDIUM,2 Trays,240,-1,-1,-1,-1,,\N,2/10/2022 4:06,0,\N,\N
18311,646,0,MUTTON CHUKKA,MEDIUM,2 Trays,400,-1,-1,-1,-1,,\N,2/10/2022 4:06,0,\N,\N
18312,646,0,RAITHA,NONE,3/4Tray,30,-1,-1,-1,-1,,\N,2/10/2022 4:06,0,\N,\N
18313,646,0,RICE,NONE,1.5 Trays,0,-1,-1,-1,-1,,\N,2/10/2022 4:06,0,\N,\N
18314,646,0,SETUP,NA,NA,200,-1,-1,-1,-1,,\N,2/10/2022 4:06,0,\N,\N
18315,646,0,VEG MANCHURIAN,MILD,200 balls,250,-1,-1,-1,-1,,\N,2/10/2022 4:06,0,\N,\N
18316,646,0,VEGETABLE  SALAD,NONE,1.5 Trays,90,-1,-1,-1,-1,,\N,2/10/2022 4:06,0,\N,\N
18375,676,0,CHAI,NONE,100,200,-1,-1,-1,-1,,\N,2/11/2022 0:10,0,\N,\N
18376,676,0,CLINATRO PULAO,MEDIUM,4 tr,400,-1,-1,-1,-1,,\N,2/11/2022 0:10,0,\N,\N
18377,676,0,CUT MIRCHI,MEDIUM,3 Trays,330,-1,-1,-1,-1,,\N,2/11/2022 0:10,0,\N,\N
18378,676,0,ENNAI KATHIRIKAI KOZAHMBU,MEDIUM,2.5 Trays,300,-1,-1,-1,-1,,\N,2/11/2022 0:10,0,\N,\N
18379,676,0,FILTER COFFEE,NONE,100,200,-1,-1,-1,-1,,\N,2/11/2022 0:10,0,\N,\N
18380,676,0,FRYOMS,NONE,3 Trays,75,-1,-1,-1,-1,,\N,2/11/2022 0:10,0,\N,\N
18381,676,0,HARIYALI PANEER,MEDIUM,3 Trays,420,-1,-1,-1,-1,,\N,2/11/2022 0:10,0,\N,\N
18382,676,0,JALJEERA,NONE,150,375,-1,-1,-1,-1,,\N,2/11/2022 0:10,0,\N,\N
18383,676,0,LIVE STATION CHARGES FOR POORI AND PANEER,NONE,None,400,-1,-1,-1,-1,,\N,2/11/2022 0:10,0,\N,\N
18384,676,0,MANGO PAPPU,MEDIUM,3 Trays,330,-1,-1,-1,-1,,\N,2/11/2022 0:10,0,\N,\N
18385,676,0,PLAIN RICE,NONE,3 Trays,90,-1,-1,-1,-1,,\N,2/11/2022 0:10,0,\N,\N
18386,676,0,POORI,NONE,400,800,-1,-1,-1,-1,,\N,2/11/2022 0:10,0,\N,\N
18387,676,0,RAITHA,NONE,1 Tray,45,-1,-1,-1,-1,,\N,2/11/2022 0:10,0,\N,\N
18388,676,0,RASAMALAI,NONE,400,800,-1,-1,-1,-1,,\N,2/11/2022 0:10,0,\N,\N
18389,676,0,THAYIR SATHAM,NONE,4 tr,320,-1,-1,-1,-1,,\N,2/11/2022 0:10,0,\N,\N
18390,676,0,TINDORA FRY,MEDIUM,3 Trays,360,-1,-1,-1,-1,,\N,2/11/2022 0:10,0,\N,\N
18391,676,0,VEG KURUMA,MEDIUM,3 Trays,360,-1,-1,-1,-1,,\N,2/11/2022 0:10,0,\N,\N
