ID,DELIVERY_DATE,DELIVERY_TIME,DELIVERY_MODE,DELIVERY_STATUS,INVOICE_AMOUNT,TAXES,CATERING_COST,SHOW_PRICE,DISCOUNT,GUEST_COUNT,PER_PERSON_RATE,LIVE_STALL_CHARGE,SETUP_CHARGE,EVENT_FACILITY_FEE,SERVER_CHARGE,GRATUITY,CATERING_STATUS,CATERING_LOCATION
1826,5/20/2023,9:30:00,30,\N,290,19.5,279.5,9,30,10,0,0,0,\N,0,0,CONFIRMED,durham
1827,5/14/2023,10:00:00,30,\N,595,0,525,9,70,50,0,0,0,\N,0,0,CONFIRMED,durham
1828,5/20/2023,17:15:00,30,\N,414,0,414,9,0,25,0,0,0,\N,0,0,CONFIRMED,durham
1829,5/12/2023,19:00:00,30,\N,150,0,135,9,15,12,0,0,0,\N,0,0,CONFIRMED,raleigh
1830,5/14/2023,11:30:00,30,\N,187.5,0,180,9,7.5,30,0,0,0,\N,0,0,CONFIRMED,durham
1831,5/20/2023,14:00:00,30,\N,170,0,170,9,0,50,0,0,0,\N,0,0,CONFIRMED,durham
1832,5/18/2023,11:30:00,31,\N,224,0,274,9,0,10,0,0,50,\N,0,0,CONFIRMED,raleigh
1833,5/20/2023,18:00:00,31,\N,400,0,450,9,0,60,0,0,50,\N,0,0,CONFIRMED,raleigh
1834,5/17/2023,11:00:00,31,\N,775,58.13,883.13,9,0,30,0,0,50,\N,0,0,INQUIRY,durham
1835,5/19/2023,17:40:00,30,\N,397,0,397,9,0,15,0,0,0,\N,0,0,CONFIRMED,chapel
1836,5/21/2023,10:30:00,31,\N,655,0,705,9,0,40,0,0,50,\N,0,0,CONFIRMED,raleigh
1837,5/21/2023,17:30:00,31,\N,505,37.88,592.88,9,0,40,0,0,50,\N,0,0,CONFIRMED,chapel
1838,6/3/2023,17:30:00,32,\N,1470,0,1570,9,0,150,0,0,100,\N,0,0,CONFIRMED,durham
1839,5/27/2023,18:00:00,32,\N,945,0,1045,9,0,45,0,0,100,\N,0,0,CONFIRMED,chapel
1841,6/11/2023,15:30:00,32,\N,1085,0,1185,9,0,50,0,0,100,\N,0,0,CONFIRMED,chapel
1842,5/19/2023,9:00:00,30,\N,130,0,130,9,0,50,0,0,0,\N,0,0,CONFIRMED,raleigh
1843,5/21/2023,10:30:00,30,\N,465,0,415,9,50,60,0,0,0,\N,0,0,CONFIRMED,durham
1844,5/20/2023,17:15:00,31,\N,632.5,0,682.5,9,0,80,0,0,50,\N,0,0,CONFIRMED,chapel
1845,5/23/2023,18:00:00,31,\N,274,20.55,344.55,9,0,15,0,0,50,\N,0,0,CONFIRMED,chapel
1846,6/3/2023,16:00:00,32,\N,8302.5,0,8602.5,9,0,175,0,0,100,\N,200,0,CONFIRMED,chapel
1847,5/21/2023,13:00:00,30,\N,0,0,0,9,0,1,0,0,0,\N,0,0,CANCELLED,raleigh
1849,5/21/2023,13:00:00,30,\N,70,0,70,9,0,15,0,0,0,\N,0,0,CONFIRMED,raleigh
1850,5/24/2023,17:00:00,32,\N,1782.5,0,1800,9,82.5,150,0,0,100,\N,0,0,CONFIRMED,durham
1851,5/26/2023,18:30:00,32,\N,925,0,1025,9,0,75,0,0,100,\N,0,0,CONFIRMED,raleigh
1852,5/24/2023,11:45:00,32,\N,405,0,505,9,0,20,0,0,100,\N,0,0,CONFIRMED,raleigh
1853,6/12/2023,16:30:00,30,\N,580,0,580,9,0,120,0,0,0,\N,0,0,CONFIRMED,chapel
1854,5/28/2023,10:45:00,31,\N,400,0,450,9,0,30,0,0,50,\N,0,0,CONFIRMED,raleigh
1855,5/29/2023,18:45:00,32,\N,1010,0,1135,9,0,1,0,0,125,\N,0,0,CONFIRMED,raleigh
1856,5/24/2023,20:30:00,31,\N,60,0,60,9,50,30,0,0,50,\N,0,0,CONFIRMED,durham
1857,6/16/2023,18:00:00,31,\N,1177.5,88.31,1315.81,9,0,120,0,0,50,\N,0,0,CONFIRMED,chapel
1858,6/4/2023,16:00:00,31,\N,1350,0,1400,9,0,107,0,0,50,\N,0,0,CANCELLED,undecided
1859,5/19/2023,9:00:00,31,\N,100,0,150,9,0,50,0,0,50,\N,0,0,CONFIRMED,raleigh
1860,6/11/2023,16:00:00,32,\N,5727.5,0,6000,9,27.5,200,0,0,100,\N,200,0,CONFIRMED,raleigh
1861,5/26/2023,18:45:00,30,\N,75,5.63,80.63,9,0,10,0,0,0,\N,0,0,CONFIRMED,chapel
1863,6/16/2023,17:00:00,32,\N,855,0,955,9,0,60,0,0,100,\N,0,0,CONFIRMED,raleigh
1864,4/27/2024,11:30:00,32,\N,8000,0,8100,9,0,200,40,0,100,\N,0,0,INQUIRY,undecided
1865,4/27/2024,16:00:00,32,\N,10000,0,10100,9,0,250,40,0,100,\N,0,0,INQUIRY,undecided
1866,4/27/2024,17:30:00,32,\N,8000,0,8100,9,0,200,40,0,100,\N,0,0,INQUIRY,undecided
1867,5/26/2023,17:25:00,30,\N,136,0,136,9,0,15,0,0,0,\N,0,0,CONFIRMED,chapel
1868,4/28/2024,11:00:00,32,\N,9000,0,9100,9,0,200,45,0,100,\N,0,0,INQUIRY,undecided
1869,6/1/2023,11:30:00,30,\N,135,0,135,9,0,20,0,0,0,\N,0,0,CONFIRMED,durham
1870,5/28/2023,17:45:00,30,\N,380,0,380,9,0,20,0,0,0,\N,0,0,CONFIRMED,raleigh
